num,lat,lon
3282314,40.55750000000437,-8.75249999999984
1995012,37.19750000000265,-7.502499999999732
3341836,40.71250000000445,-8.122499999999741
3728722,41.72250000000496,-8.852499999999855
3374322,40.79750000000449,-8.552499999999808
3608296,41.4075000000048,-7.4424999999997333506514
3096455,40.07250000000412,-8.787499999999845
3205735,40.357500000004265,-8.447499999999792
2582894,38.732500000003434,-9.152499999999902
3136787,40.17750000000417,-8.30749999999977
3247939,40.46750000000432,-8.187499999999751
2481460,38.4675000000033,-8.582499999999813
3650271,41.51750000000486,-8.327499999999773
3857209,42.057500000005135,-8.277499999999765
2872368,39.48750000000382,-8.362499999999779
2950805,39.692500000003925,-8.957499999999872
2667319,38.952500000003546,-8.547499999999808
3460559,41.022500000004605,-8.467499999999795
3464472,41.03250000000461,-8.062499999999732
3493168,41.10750000000465,-8.282499999999766
3627563,41.45750000000483,-6.907499999999745
3761394,41.80750000000501,-8.352499999999777
2924044,39.62250000000389,-8.642499999999822
2546618,38.637500000003385,-8.512499999999802
3669538,41.567500000004884,-7.792499999999726
3759442,41.802500000005004,-8.532499999999805
3594665,41.372500000004784,-8.537499999999806
3427993,40.93750000000456,-8.43749999999979
3449318,40.99250000000459,-7.192499999999739
3261544,40.50250000000434,-7.222499999999738
3752137,41.782500000004994,-6.7374999999997485
3763498,41.81250000000501,-7.412499999999734
3560536,41.28250000000474,-6.742499999999748
3541054,41.23250000000471,-8.352499999999777
3539288,41.22750000000471,-7.60249999999973
2609718,38.80250000000347,-9.152499999999902
3868633,42.08750000000515,-8.637499999999822
3222944,40.40250000000429,-8.62249999999982
3665774,41.55750000000488,-7.452499999999733
3583361,41.34250000000477,-7.577499999999731
2004441,37.22250000000266,-8.257499999999762
3575701,41.32250000000476,-7.557499999999731
3717590,41.69250000000495,-7.032499999999742
3136707,40.17750000000417,-8.707499999999833
3357253,40.75250000000447,-7.677499999999728
3566135,41.297500000004746,-7.4874999999997325
3590872,41.36250000000478,-8.342499999999776
