VehicleID,Latitude,Longitude
137,30.592499999999998,114.25750000000001
146,30.6175,114.2525
92,30.6175,114.2525
101,30.6175,114.2525
173,30.5825,114.27250000000001
182,30.6175,114.2525
191,30.6175,114.2525
83,30.592499999999998,114.3025
155,30.6175,114.2525
164,30.5975,114.25750000000001
110,30.572499999999998,114.2675
119,30.607499999999998,114.2625
128,30.5975,114.2875
95,30.6175,114.2525
23,30.607499999999998,114.25750000000001
104,30.592499999999998,114.25750000000001
131,30.5775,114.2875
122,30.6175,114.25750000000001
194,30.5875,114.2825
176,30.5775,114.2675
77,30.5975,114.2925
86,30.5825,114.2925
185,30.6175,114.2525
158,30.6175,114.2525
167,30.6175,114.2525
50,30.5675,114.2875
59,30.5875,114.2825
68,30.6175,114.2525
41,30.5775,114.2775
32,30.6025,114.2775
140,30.592499999999998,114.25750000000001
113,30.6175,114.2525
149,30.5675,114.2775
53,30.5875,114.2825
62,30.6025,114.25750000000001
134,30.6175,114.2525
35,30.5675,114.2775
44,30.6225,114.2675
8,30.5875,114.2925
17,30.6125,114.2875
125,30.572499999999998,114.2675
26,30.6175,114.2525
89,30.6175,114.2525
80,30.5675,114.3025
116,30.607499999999998,114.2875
98,30.6175,114.2525
71,30.5775,114.2675
107,30.592499999999998,114.2875
11,30.6225,114.2975
74,30.592499999999998,114.2675
56,30.5875,114.27250000000001
38,30.5975,114.2525
29,30.592499999999998,114.2675
47,30.6175,114.2525
20,30.6025,114.3025
2,30.592499999999998,114.2625
65,30.6175,114.2525
5,30.5875,114.2825
184,30.6175,114.2525
193,30.6225,114.2675
175,30.5675,114.2625
166,30.5875,114.2675
14,30.6175,114.2525
142,30.6175,114.2525
151,30.572499999999998,114.2775
124,30.6175,114.2525
133,30.607499999999998,114.2825
106,30.5775,114.2775
160,30.6175,114.2525
169,30.6175,114.2525
178,30.5775,114.2775
115,30.5875,114.2825
187,30.5875,114.2825
196,30.592499999999998,114.2825
181,30.6025,114.27250000000001
163,30.5875,114.2825
172,30.6125,114.2875
46,30.5875,114.2825
118,30.6175,114.2525
127,30.572499999999998,114.2775
199,30.572499999999998,114.2775
136,30.6175,114.2525
100,30.6025,114.2675
109,30.5975,114.2675
82,30.6125,114.2775
91,30.6175,114.2525
190,30.6175,114.2525
64,30.627499999999998,114.2775
55,30.572499999999998,114.27250000000001
73,30.6225,114.2675
145,30.6125,114.2875
154,30.6175,114.2675
85,30.5975,114.2925
94,30.5875,114.2625
67,30.5975,114.25750000000001
58,30.572499999999998,114.2775
139,30.6125,114.2925
40,30.6025,114.2825
49,30.6175,114.2525
130,30.6025,114.2825
4,30.6175,114.2525
13,30.607499999999998,114.2525
148,30.6175,114.2525
121,30.607499999999998,114.2875
157,30.5825,114.2875
22,30.572499999999998,114.2775
31,30.5875,114.2775
103,30.6175,114.2975
76,30.607499999999998,114.2775
112,30.5825,114.2625
16,30.6125,114.2775
97,30.6175,114.2525
7,30.6175,114.2525
79,30.6175,114.2525
88,30.6175,114.2525
70,30.592499999999998,114.25750000000001
52,30.6175,114.2525
43,30.592499999999998,114.25750000000001
25,30.6175,114.2525
34,30.6175,114.2525
61,30.592499999999998,114.27250000000001
10,30.5975,114.2925
189,30.6025,114.2775
37,30.6175,114.2525
180,30.5825,114.2875
1,30.572499999999998,114.2525
198,30.6125,114.2825
19,30.5875,114.27250000000001
28,30.6175,114.2525
174,30.572499999999998,114.2975
147,30.6175,114.2525
183,30.5875,114.2825
156,30.6025,114.2925
129,30.592499999999998,114.2525
138,30.592499999999998,114.2675
120,30.6225,114.2625
165,30.5775,114.2625
192,30.6175,114.2525
60,30.6175,114.2525
186,30.6175,114.2525
87,30.6025,114.2825
96,30.6175,114.2525
168,30.5875,114.2825
177,30.5675,114.2675
150,30.6175,114.2525
159,30.5875,114.2825
132,30.572499999999998,114.2625
141,30.6175,114.2525
105,30.5875,114.2925
114,30.6025,114.3025
123,30.6175,114.2525
195,30.6125,114.2825
78,30.607499999999998,114.2625
69,30.607499999999998,114.27250000000001
90,30.6025,114.2925
99,30.6125,114.2675
63,30.607499999999998,114.25750000000001
45,30.5875,114.27250000000001
54,30.6175,114.2525
171,30.5875,114.2875
72,30.6175,114.2525
144,30.6025,114.2875
81,30.5975,114.2525
153,30.6175,114.2525
126,30.5825,114.2925
162,30.5825,114.2625
27,30.5825,114.2675
36,30.6175,114.2525
135,30.6175,114.2525
108,30.5775,114.2675
117,30.572499999999998,114.2975
18,30.607499999999998,114.25750000000001
9,30.6175,114.2525
48,30.5675,114.2925
57,30.6175,114.2525
21,30.592499999999998,114.2775
3,30.5675,114.2975
84,30.607499999999998,114.3025
12,30.572499999999998,114.2675
93,30.6175,114.2525
102,30.592499999999998,114.2825
75,30.607499999999998,114.2625
30,30.6175,114.2525
39,30.5775,114.27250000000001
111,30.5825,114.2975
66,30.592499999999998,114.27250000000001
15,30.6025,114.3025
42,30.6175,114.2525
51,30.6175,114.25750000000001
24,30.5875,114.2675
33,30.6175,114.2525
6,30.6025,114.2675
179,30.6175,114.2525
152,30.607499999999998,114.2525
188,30.6175,114.2525
170,30.6175,114.25750000000001
143,30.6175,114.2525
161,30.5875,114.2825
197,30.6175,114.2525
0,30.572499999999998,114.2625
