VehicleID,Latitude,Longitude
137,30.6025,114.27250000000001
146,30.5975,114.2875
92,30.6125,114.3025
101,30.6175,114.2525
173,30.5775,114.2825
182,30.6175,114.2525
191,30.5875,114.2625
83,30.6225,114.2875
155,30.6175,114.2525
164,30.592499999999998,114.2675
110,30.6175,114.2525
119,30.5975,114.2875
128,30.6225,114.2675
95,30.607499999999998,114.3025
23,30.592499999999998,114.27250000000001
104,30.5775,114.2825
131,30.607499999999998,114.2625
122,30.6175,114.2525
194,30.6225,114.2525
176,30.592499999999998,114.2675
77,30.5975,114.2875
86,30.5875,114.2825
185,30.6175,114.2525
158,30.5875,114.2775
167,30.572499999999998,114.2825
50,30.572499999999998,114.25750000000001
59,30.5875,114.2625
68,30.6175,114.2525
41,30.6175,114.2775
32,30.592499999999998,114.2525
140,30.607499999999998,114.2975
113,30.6175,114.2525
149,30.5825,114.2825
53,30.5775,114.2625
62,30.6025,114.2525
134,30.6175,114.2525
35,30.6025,114.3025
44,30.6175,114.2525
8,30.5825,114.2825
17,30.6125,114.2875
125,30.5875,114.27250000000001
26,30.607499999999998,114.2975
89,30.6175,114.2525
80,30.6125,114.2775
116,30.6225,114.2825
98,30.6175,114.2525
71,30.6225,114.2675
107,30.6125,114.3025
11,30.6025,114.2825
74,30.6175,114.2525
56,30.6175,114.2525
38,30.5825,114.2925
29,30.6025,114.2825
47,30.6175,114.2525
20,30.5875,114.2975
2,30.5775,114.2775
65,30.6175,114.2525
5,30.6175,114.2525
184,30.5975,114.2975
193,30.5875,114.2825
175,30.6175,114.2525
166,30.6175,114.2525
14,30.607499999999998,114.2775
142,30.6175,114.2525
151,30.6225,114.2675
124,30.6175,114.2525
133,30.5975,114.2825
106,30.5975,114.2975
160,30.6175,114.2525
169,30.607499999999998,114.2625
178,30.607499999999998,114.25750000000001
115,30.5825,114.2925
187,30.5875,114.2825
196,30.5775,114.27250000000001
181,30.6175,114.2675
163,30.592499999999998,114.2775
172,30.6025,114.2925
46,30.6225,114.3025
118,30.6175,114.2525
127,30.6175,114.2525
199,30.6025,114.2875
136,30.6175,114.2525
100,30.592499999999998,114.2875
109,30.592499999999998,114.2875
82,30.6225,114.2675
91,30.6175,114.2525
190,30.6175,114.2525
64,30.592499999999998,114.2825
55,30.6175,114.2525
73,30.6175,114.2525
145,30.6175,114.2525
154,30.6125,114.3025
85,30.6175,114.2525
94,30.6125,114.2975
67,30.6175,114.2525
58,30.5675,114.25750000000001
139,30.5875,114.2775
40,30.6125,114.27250000000001
49,30.6175,114.2525
130,30.592499999999998,114.3025
4,30.6175,114.2525
13,30.5975,114.2975
148,30.6175,114.2525
121,30.6175,114.2525
157,30.6175,114.2525
22,30.6175,114.2825
31,30.572499999999998,114.2525
103,30.6225,114.2525
76,30.5975,114.2975
112,30.5825,114.2925
16,30.6175,114.2525
97,30.6175,114.2525
7,30.6175,114.2525
79,30.5825,114.2875
88,30.6225,114.2875
70,30.6025,114.2825
52,30.6175,114.2525
43,30.592499999999998,114.2875
25,30.6175,114.2525
34,30.6175,114.2525
61,30.6175,114.2525
10,30.5975,114.2825
189,30.5875,114.2675
37,30.6175,114.2525
180,30.6175,114.2525
1,30.6175,114.2675
198,30.5825,114.2975
19,30.5775,114.2775
28,30.6175,114.2525
174,30.5875,114.2825
147,30.6175,114.2525
183,30.6225,114.3025
156,30.5775,114.2825
129,30.6175,114.27250000000001
138,30.6025,114.2925
120,30.5775,114.2825
165,30.5975,114.2775
192,30.6175,114.2525
60,30.6125,114.25750000000001
186,30.6175,114.2525
87,30.6175,114.2525
96,30.6175,114.2825
168,30.5775,114.2925
177,30.6175,114.2525
150,30.6175,114.2525
159,30.572499999999998,114.27250000000001
132,30.6175,114.2675
141,30.5875,114.2825
105,30.6175,114.2525
114,30.572499999999998,114.25750000000001
123,30.6225,114.2775
195,30.6175,114.2525
78,30.6125,114.2675
69,30.6175,114.2975
90,30.6025,114.2925
99,30.5825,114.2925
63,30.5875,114.2825
45,30.6125,114.27250000000001
54,30.6175,114.2525
171,30.5975,114.2825
72,30.5975,114.25750000000001
144,30.6125,114.2825
81,30.607499999999998,114.2675
153,30.5825,114.2625
126,30.5775,114.2825
162,30.6175,114.2525
27,30.592499999999998,114.2675
36,30.6125,114.2975
135,30.6175,114.2525
108,30.5775,114.2925
117,30.6025,114.2825
18,30.5825,114.2875
9,30.6175,114.2525
48,30.5875,114.2875
57,30.6175,114.2525
21,30.5775,114.2675
3,30.5975,114.2925
84,30.6125,114.2675
12,30.5875,114.2675
93,30.6175,114.2525
102,30.6025,114.2825
75,30.5975,114.25750000000001
30,30.6175,114.2525
39,30.5975,114.2925
111,30.5875,114.2975
66,30.5875,114.2875
15,30.6175,114.25750000000001
42,30.6175,114.2525
51,30.5875,114.2825
24,30.6175,114.2525
33,30.6025,114.25750000000001
6,30.5975,114.2875
179,30.6175,114.2525
152,30.6125,114.25750000000001
188,30.6175,114.2525
170,30.592499999999998,114.2625
143,30.6175,114.2525
161,30.5775,114.2775
197,30.6025,114.2875
0,30.572499999999998,114.2775
