Date,RunTime
2013-10-09,79
2013-10-15,77
2013-10-26,75
2013-10-08,82
2013-10-20,80
2013-10-14,84
2013-10-29,137
2013-10-17,84
2013-10-02,36
2013-10-23,82
2013-10-05,36
2013-10-11,75
2013-10-25,92
2013-10-10,65
2013-10-31,108
2013-10-19,72
2013-10-13,66
2013-10-07,130
2013-10-28,70
2013-10-01,37
2013-10-16,104
2013-10-22,73
2013-10-04,38
2013-10-21,52
2013-10-30,124
2013-10-24,97
2013-10-03,44
2013-10-18,100
2013-10-06,53
2013-10-27,92
2013-10-12,82
