Date,RunTime
2013-09-15,55
2013-09-21,74
2013-09-18,46
2013-09-03,79
2013-09-24,75
2013-09-30,50
2013-09-27,77
2013-09-12,89
2013-09-06,76
2013-09-09,78
2013-09-26,66
2013-09-29,45
2013-09-08,48
2013-09-14,79
2013-09-20,57
2013-09-17,74
2013-09-23,97
2013-09-02,72
2013-09-11,88
2013-09-05,91
2013-09-10,54
2013-09-25,75
2013-09-19,59
2013-09-28,55
2013-09-13,88
2013-09-07,95
2013-09-01,82
2013-09-22,84
2013-09-16,69
2013-09-04,91
